date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
1974-01-01,1.0,1.2095001,-3.9405,-1.6279998,-2.615206,-9.347763,-6.263546,0,0,0.0,0.0,0.0,0.0,16.595179,29.519999,53.33299,5.45,0.63695204
1974-01-02,2.0,-0.44050002,-4.1905003,-2.5342495,-7.0426035,-10.584426,-8.725637,0,0,0.0,0.0,0.0,0.0,25.264202,49.68,47.123363,5.5,1.18061
1974-01-03,1.0,0.7595,-4.6405,-2.2009168,-3.2403975,-9.6539345,-6.773499,0,0,0.0,0.0,0.0,0.0,17.673029,33.839996,62.702984,5.54,0.7402431
1974-01-04,0.0,1.2595,-4.7405,-2.1238334,-3.8554344,-9.639334,-7.336088,0,0,0.0,0.0,0.0,0.0,21.096123,45.0,41.982567,5.73,0.9522579
1974-01-05,1.0,-0.7405,-5.3405,-3.0175836,-5.951634,-11.345201,-8.649396,0,0,0.0,0.0,0.0,0.0,21.533897,41.039997,42.725307,5.85,1.0959636
1974-01-06,1.0,0.9095,-4.5905,-2.028,-2.95221,-8.906609,-6.054215,0,0,0.0,0.0,0.0,0.0,8.14587,18.0,60.983524,5.6,0.5746708
1974-01-07,2.0,1.7095001,-4.8905,-1.8717495,-2.3100717,-8.878369,-5.7336135,0,0,0.0,0.0,0.0,0.0,11.384198,21.96,52.682575,5.59,0.44709668
1974-01-08,3.0,1.4595001,-3.7405,-1.7821666,-2.4378133,-7.680092,-5.7537036,0,0,0.0,0.0,0.0,0.0,9.0,14.4,48.052925,4.27,0.49887726
1974-01-09,3.0,-0.0905,-4.7905,-2.8009164,-3.8697011,-9.387973,-6.826921,0,0,0.0,0.0,0.0,0.0,11.019764,20.880001,33.840107,5.28,0.4581045
1974-01-10,3.0,0.45949998,-5.4905,-2.6863334,-4.4820795,-9.527807,-7.2575555,0,0,0.0,0.0,0.0,0.0,12.88981,27.72,32.79954,5.25,0.7179431
1974-01-11,3.0,0.40949997,-3.0405,-1.8738332,-4.820577,-8.484978,-7.000164,0,0,0.0,0.0,0.0,0.0,15.530151,30.239998,46.33643,3.77,0.9178978
1974-01-12,75.0,3.6095,-2.2405,-0.019666472,-2.3562245,-6.3818355,-4.358996,0,0,15.399999,6.5,6.23,18.0,29.215502,41.760002,354.9576,0.97,0.25346306
1974-01-13,63.0,5.6595,4.1095,4.6782503,1.9549112,-1.6359262,0.35114488,0,0,37.599995,37.599995,0.0,24.0,30.633865,62.639996,279.79398,0.41,0.13697618
1974-01-14,63.0,8.3095,5.1095,6.986583,3.9466457,1.4231219,2.6213305,0,0,32.399998,32.399998,0.0,24.0,31.92654,69.12,282.37592,1.95,0.21928702
1974-01-15,63.0,9.3595,6.1595,8.482416,5.5797977,2.6277676,4.256172,0,0,26.400002,26.400002,0.0,24.0,29.934166,61.920002,276.42142,2.25,0.27844232
1974-01-16,61.0,8.3595,4.6595,7.376166,5.344736,-0.2668693,4.0100393,0,0,24.500004,24.500004,0.0,24.0,26.121714,48.96,275.11478,0.87,0.21000493
1974-01-17,53.0,5.2595,-0.54050004,2.8886669,2.5519638,-3.7889295,-0.6708627,0,0,2.3999999,2.3999999,0.0,11.0,19.406637,34.92,318.96683,5.32,0.5343238
1974-01-18,61.0,7.4095,2.7595,4.9220004,3.652266,-1.7854366,0.5044698,0,0,19.399998,19.399998,0.0,19.0,24.627789,49.68,324.08817,1.34,0.37497726
1974-01-19,51.0,4.2595,-0.8405,2.1344998,1.5017118,-4.240838,-1.1812016,0,0,0.1,0.1,0.0,1.0,21.252197,40.68,230.15012,5.71,0.54677624
1974-01-20,71.0,3.4595,-0.1905,1.4865834,-0.123876095,-3.3688083,-1.856279,0,0,4.2,3.8000002,0.28,14.0,11.874544,23.759998,267.83896,4.97,0.47735476
1974-01-21,73.0,2.4095001,-2.1905,0.6678333,0.07139492,-5.8928504,-3.0559034,0,0,9.0,4.6,3.0800002,16.0,20.767975,37.44,326.23355,0.87,0.19709781
1974-01-22,55.0,5.0095,0.85950005,3.1261666,1.343965,-2.5236259,-0.36085048,0,0,11.4,11.4,0.0,24.0,21.349546,42.12,269.71497,1.02,0.14981852
1974-01-23,61.0,6.3595,3.5095,4.9199166,2.9672532,0.32750034,1.6225281,0,0,22.000004,22.000004,0.0,24.0,19.083395,36.719997,276.68765,0.46,0.12686877
1974-01-24,63.0,6.3095,5.2095,5.813667,3.2841363,0.9039049,2.4777021,0,0,43.8,43.8,0.0,23.0,19.64228,38.519997,290.73328,0.49,0.13457474
1974-01-25,53.0,5.6095,3.2595,4.3053336,2.8049378,0.32708645,1.5395793,0,0,8.699999,8.699999,0.0,22.0,18.204042,32.399998,242.41425,3.07,0.3680885
1974-01-26,55.0,4.3095,1.0595,2.6907504,0.9459467,-1.9285946,-0.31888807,0,0,5.6000004,5.6000004,0.0,10.0,13.849476,25.56,257.30862,3.14,0.3386437
1974-01-27,55.0,6.7595,2.8595,4.6115837,2.901556,-0.87113833,0.7629435,0,0,10.400001,10.400001,0.0,21.0,21.734581,45.0,256.63474,2.35,0.3119621
1974-01-28,53.0,6.0595,3.8095002,4.736583,1.1354036,-0.4496429,0.29417023,0,0,4.5999994,4.5999994,0.0,22.0,23.950148,42.12,234.79774,1.67,0.4744628
1974-01-29,61.0,5.9095,1.5595,4.219917,0.043676376,-3.33785,-1.1405534,0,0,12.000001,12.000001,0.0,18.0,30.802622,62.279995,221.24858,1.67,0.62205905
1974-01-30,73.0,2.5595,-1.3905,0.8782501,-0.74425054,-4.479008,-2.7678077,0,0,0.8,0.0,0.56000006,4.0,14.917212,28.08,142.0012,5.58,0.6982236
1974-01-31,75.0,3.3595,0.3095,1.9574167,0.64900637,-5.2299747,-2.5382993,0,0,33.9,18.1,11.06,24.0,22.553934,45.0,341.42563,2.06,0.39781228
1974-02-01,53.0,5.6595,2.2595,3.9574168,2.159946,-1.7407699,0.029780746,0,0,4.4999995,4.4999995,0.0,14.0,19.201874,40.68,238.50385,4.25,0.50569683
1974-02-02,71.0,4.4095,2.3095,3.2303333,0.3433795,-2.8462913,-0.994097,0,0,31.0,30.699999,0.21000001,23.0,23.795427,44.28,285.3349,0.48,0.14124201
1974-02-03,63.0,5.0595,4.3095,4.6115828,0.7110777,-0.727504,0.092268206,0,0,37.4,37.4,0.0,24.0,25.417631,46.079998,290.20096,0.67,0.1378956
1974-02-04,53.0,5.9595,2.4095001,4.2886667,1.7971396,-0.52110124,0.60983366,0,0,4.5999994,4.5999994,0.0,13.0,18.11841,37.8,216.70724,5.63,0.65692395
1974-02-05,3.0,5.1095,-1.0405,1.9845,2.5969143,-4.2140536,-0.7506532,0,0,0.0,0.0,0.0,0.0,6.489992,14.04,151.65019,7.88,0.7577634
1974-02-06,3.0,4.0095,-0.6405,1.5074167,1.2600737,-3.5054848,-1.1923274,0,0,0.0,0.0,0.0,0.0,5.692099,12.959999,17.676205,5.75,0.5972147
1974-02-07,3.0,4.4595,-0.44050002,1.6699165,2.241487,-3.4631665,-0.9714914,0,0,0.0,0.0,0.0,0.0,5.692099,11.159999,49.808037,6.99,0.70357907
